[2024-12-05 23:38:06,097] 36 root - INFO - Error fetching data for city_id 283: 'appointmentId'
[2024-12-05 23:38:06,107] 51 root - INFO - Fetched 0 appointment IDs for city_id 194
[2024-12-05 23:38:06,472] 36 root - INFO - Error fetching data for city_id 294: 'appointmentId'
[2024-12-05 23:38:06,474] 36 root - INFO - Error fetching data for city_id 285: 'appointmentId'
[2024-12-05 23:38:06,477] 36 root - INFO - Error fetching data for city_id 292: 'appointmentId'
[2024-12-05 23:38:06,512] 36 root - INFO - Error fetching data for city_id 284: 'appointmentId'
[2024-12-05 23:38:06,525] 36 root - INFO - Error fetching data for city_id 282: 'appointmentId'
[2024-12-05 23:38:06,666] 36 root - INFO - Error fetching data for city_id 296: 'appointmentId'
[2024-12-05 23:38:06,697] 36 root - INFO - Error fetching data for city_id 288: 'appointmentId'
[2024-12-05 23:38:06,697] 36 root - INFO - Error fetching data for city_id 286: 'appointmentId'
[2024-12-05 23:38:06,705] 36 root - INFO - Error fetching data for city_id 287: 'appointmentId'
[2024-12-05 23:38:06,707] 36 root - INFO - Error fetching data for city_id 295: 'appointmentId'
[2024-12-05 23:38:06,758] 36 root - INFO - Error fetching data for city_id 297: 'appointmentId'
[2024-12-05 23:38:06,758] 36 root - INFO - Error fetching data for city_id 291: 'appointmentId'
[2024-12-05 23:38:06,799] 36 root - INFO - Error fetching data for city_id 293: 'appointmentId'
[2024-12-05 23:38:06,859] 36 root - INFO - Error fetching data for city_id 299: 'appointmentId'
[2024-12-05 23:38:06,869] 36 root - INFO - Error fetching data for city_id 300: 'appointmentId'
[2024-12-05 23:38:06,874] 36 root - INFO - Error fetching data for city_id 289: 'appointmentId'
[2024-12-05 23:38:06,928] 36 root - INFO - Error fetching data for city_id 298: 'appointmentId'
[2024-12-05 23:38:06,976] 51 root - INFO - Fetched 0 appointment IDs for city_id 200
[2024-12-05 23:38:07,040] 51 root - INFO - Fetched 0 appointment IDs for city_id 156
[2024-12-05 23:38:07,040] 51 root - INFO - Fetched 0 appointment IDs for city_id 184
[2024-12-05 23:38:07,040] 51 root - INFO - Fetched 0 appointment IDs for city_id 153
[2024-12-05 23:38:07,040] 51 root - INFO - Fetched 0 appointment IDs for city_id 179
[2024-12-05 23:38:07,040] 51 root - INFO - Fetched 0 appointment IDs for city_id 187
[2024-12-05 23:38:07,040] 51 root - INFO - Fetched 0 appointment IDs for city_id 177
[2024-12-05 23:38:07,040] 51 root - INFO - Fetched 0 appointment IDs for city_id 169
[2024-12-05 23:38:07,040] 51 root - INFO - Fetched 0 appointment IDs for city_id 202
[2024-12-05 23:38:07,040] 51 root - INFO - Fetched 0 appointment IDs for city_id 226
[2024-12-05 23:38:07,040] 51 root - INFO - Fetched 0 appointment IDs for city_id 207
